Title,Type,BodyPart,Equipment,Level,BodyGroup,exercise_id,goal_tag,movement_type,equipment_std
Skin The Cat To Push-Up,Strength,Abdominals,Bodyweight,Intermediate,Core,E00222,FatLoss,Compound,Bodyweight
Partner lying leg raise with lateral throw down,Strength,Abdominals,Bodyweight,Beginner,Core,E00223,FatLoss,Compound,Bodyweight
Hanging leg raise with throw down,Strength,Abdominals,Bodyweight,Beginner,Core,E00224,FatLoss,Compound,Bodyweight
Partner sit-up with high-five,Strength,Abdominals,Bodyweight,Beginner,Core,E00225,Endurance,Isolation,Bodyweight
Exercise ball knee roll-in,Strength,Abdominals,Bodyweight,Intermediate,Core,E00226,FatLoss,Isolation,Bodyweight
Partner lying leg raise with throw down,Strength,Abdominals,Bodyweight,Beginner,Core,E00227,Endurance,Compound,Bodyweight
Crab toe-touch,Strength,Abdominals,Bodyweight,Intermediate,Core,E00228,FatLoss,Isolation,Bodyweight
Side kick-through,Strength,Abdominals,Bodyweight,Intermediate,Core,E00229,Endurance,Isolation,Bodyweight
Partner target sit-up,Strength,Abdominals,Bodyweight,Beginner,Core,E00230,Endurance,Isolation,Bodyweight
Suspended Crunch,Strength,Abdominals,Bodyweight,Beginner,Core,E00231,Endurance,Isolation,Bodyweight
Jump Lunge,Strength,Abdominals,Bodyweight,Intermediate,Core,E00232,Endurance,Compound,Bodyweight
Side plank hip dip,Strength,Abdominals,Bodyweight,Intermediate,Core,E00233,FatLoss,Isolation,Bodyweight
